product_name,sku,state,type,display_on_ui,description,council,provider_name,provider_id,cost,retail_price,gst_option,gst_amount,fulfillment_method,status,required_data_buyer,required_data_seller
QOD Real Estate - Owners Corporation Certificate,VICOCOWNERSCORPV1074,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from QOD Real Estate for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,QOD Real Estate,d76a486f-b560-4efb-8925-23e0b73d53ee,,,normal_gst_10,,Manual,active,,
QOD Real Estate - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1074,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from QOD Real Estate for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,QOD Real Estate,d76a486f-b560-4efb-8925-23e0b73d53ee,,,normal_gst_10,,Manual,active,,
Melcorp Strata Pty Ltd - Urgent within 3-5 days Owners Corporation Certificate,VICOCURG3TO5DOWNERSCORPV775,VIC,BodyCorp,true,"Order the Urgent within 3-5 days Owners Corporation Certificate from Melcorp Strata Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 3-5 day timeframe.",ALL,Melcorp Strata Pty Ltd,47fe1b23-0022-4a71-8fc4-b9f59187e632,,,normal_gst_10,,Manual,active,,
Melcorp Strata Pty Ltd - Additional Urgent Owners Corporation Certificate - within 3-5 business days,VICOCADDURGOWNERSCORP3TO5DV775,VIC,BodyCorp,true,"Order the Additional Urgent Owners Corporation Certificate - within 3-5 business days from Melcorp Strata Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 3-5 business day timeframe.",ALL,Melcorp Strata Pty Ltd,47fe1b23-0022-4a71-8fc4-b9f59187e632,,,normal_gst_10,,Manual,active,,
Community Management Pty Ltd - Urgent 2 days  Owners Corporation Certificate,VICOCURG2DOWNERSCORPV959,VIC,BodyCorp,true,"Order the Urgent 2 days  Owners Corporation Certificate from Community Management Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 2 day timeframe.",ALL,Community Management Pty Ltd,3f5b2571-5199-4556-a420-593d36470ea7,,,normal_gst_10,,Manual,active,,
Community Management Pty Ltd - Urgent 3-5 days  Owners Corporation Certificate,VICOCURG3TO5DOWNERSCORPV959,VIC,BodyCorp,true,"Order the Urgent 3-5 days  Owners Corporation Certificate from Community Management Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 3-5 day timeframe.",ALL,Community Management Pty Ltd,3f5b2571-5199-4556-a420-593d36470ea7,,,normal_gst_10,,Manual,active,,
Fountain Court Management Services Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV1075,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Fountain Court Management Services Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Fountain Court Management Services Pty Ltd,cbe2aaf9-e123-4805-a7d6-8c1a2aa151ea,,,normal_gst_10,,Manual,active,,
Fountain Court Management Services Pty Ltd - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1075,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from Fountain Court Management Services Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Fountain Court Management Services Pty Ltd,cbe2aaf9-e123-4805-a7d6-8c1a2aa151ea,,,normal_gst_10,,Manual,active,,
MK Owners Corporation Pty Ltd - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV136,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from MK Owners Corporation Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,MK Owners Corporation Pty Ltd,4e5fed9b-1b90-453e-828f-843f6f1beb86,,,normal_gst_10,,Manual,active,,
Owners Corporation Plan No SP022222F - Owners Corporation Certificate,VICOCOWNERSCORPV1076,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Owners Corporation Plan No SP022222F for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Owners Corporation Plan No SP022222F,ec4a2a3d-c4df-4585-be08-5ce999365c4d,,,normal_gst_10,,Manual,active,,
Owners Corporation Plan number PS749383 - Owners Corporation Certificate,VICOCOWNERSCORPV1077,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Owners Corporation Plan number PS749383 for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Owners Corporation Plan number PS749383,32b70b6f-a238-450d-8246-3183e45b637d,,,normal_gst_10,,Manual,active,,
Incedo Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV1078,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Incedo Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Incedo Pty Ltd,4a300e61-fb0e-44d0-a37c-7b9335319aea,,,normal_gst_10,,Manual,active,,
Incedo Pty Ltd - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1078,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from Incedo Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Incedo Pty Ltd,4a300e61-fb0e-44d0-a37c-7b9335319aea,,,normal_gst_10,,Manual,active,,
ACE Body Corporate Management - Albury/Wodonga - Owners Corporation Certificate,VICOCALBURYWODONGAOWNERSCORPV1079,VIC,BodyCorp,true,"Order the Albury/Wodonga - Owners Corporation Certificate from ACE Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Ace Body Corporate Management,8f671a02-13fe-4e8d-9972-132ebc0ce851,,,normal_gst_10,,Manual,active,,
ACE Body Corporate Management - Albury/Wodonga - Additional Owners Corporation Certificate,VICOCALBURYWODONGAADDOWNERSCORPV1079,VIC,BodyCorp,true,"Order the Albury/Wodonga - Additional Owners Corporation Certificate from ACE Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Ace Body Corporate Management,8f671a02-13fe-4e8d-9972-132ebc0ce851,,,normal_gst_10,,Manual,active,,
Owners Corporation Plan number RP2690 - Owners Corporation Certificate,VICOCOWNERSCORPV1080,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Owners Corporation Plan number RP2690 for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Owners Corporation Plan number RP2690,ae4a540c-ddf5-4ce7-835e-4da5b23e894d,,,normal_gst_10,,Manual,active,,
Whittles Body Corporate Management - Owners Corporation Certificate,VICOCOWNERSCORPV1081,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Whittles Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Whittles Body Corporate Management,f325effc-2d42-4020-b751-22729d556b52,,,normal_gst_10,,Manual,active,,
Whittles Body Corporate Management - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1081,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from Whittles Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Whittles Body Corporate Management,f325effc-2d42-4020-b751-22729d556b52,,,normal_gst_10,,Manual,active,,
Paragon Owners Corporation - Owners Corporation Certificate,VICOCOWNERSCORPV1082,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Paragon Owners Corporation for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Paragon Owners Corporation,95d0669d-e605-48a0-934f-357b9d06d1ea,,,normal_gst_10,,Manual,active,,
Paragon Owners Corporation - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1082,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from Paragon Owners Corporation for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Paragon Owners Corporation,95d0669d-e605-48a0-934f-357b9d06d1ea,,,normal_gst_10,,Manual,active,,
Strata East Body Corporate Services - Owners Corporation Certificate,VICOCOWNERSCORPV1083,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Strata East Body Corporate Services for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Strata East Body Corporate Services,407b4b79-3a8d-4e7f-99ea-a46944e636db,,,normal_gst_10,,Manual,active,,
Strata East Body Corporate Services - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1083,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from Strata East Body Corporate Services for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Strata East Body Corporate Services,407b4b79-3a8d-4e7f-99ea-a46944e636db,,,normal_gst_10,,Manual,active,,
Spring & Parks Pty Ltd - Urgent Owners Corporation Certificate - within 2 business days,VICOCURGOWNERSCORP2DV1084,VIC,BodyCorp,true,"Order the Urgent Owners Corporation Certificate - within 2 business days from Spring & Parks Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 2 business day timeframe.",ALL,Spring & Parks Pty Ltd,f21db058-6da2-43d2-bfc7-8bb7d71ac9b0,,,normal_gst_10,,Manual,active,,
Spring & Parks Pty Ltd - Additional Urgent Owners Corporation Certificate - within 2 business days,VICOCADDURGOWNERSCORP2DV1084,VIC,BodyCorp,true,"Order the Additional Urgent Owners Corporation Certificate - within 2 business days from Spring & Parks Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 2 business day timeframe.",ALL,Spring & Parks Pty Ltd,f21db058-6da2-43d2-bfc7-8bb7d71ac9b0,,,normal_gst_10,,Manual,active,,
Spring & Parks Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV1084,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Spring & Parks Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Spring & Parks Pty Ltd,f21db058-6da2-43d2-bfc7-8bb7d71ac9b0,,,normal_gst_10,,Manual,active,,
Spring & Parks Pty Ltd - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1084,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from Spring & Parks Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Spring & Parks Pty Ltd,f21db058-6da2-43d2-bfc7-8bb7d71ac9b0,,,normal_gst_10,,Manual,active,,
Owners Corporation Plan number PS630146G - Owners Corporation Certificate,VICOCOWNERSCORPV1085,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Owners Corporation Plan number PS630146G for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Owners Corporation Plan number PS630146G,bf4c853f-47d4-47f7-aca8-9bfd5b841846,,,normal_gst_10,,Manual,active,,
Owners Corporation Plan No. PS 329163M - Owners Corporation Certificate,VICOCOWNERSCORPV1086,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Owners Corporation Plan No. PS 329163M for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Owners Corporation Plan No. PS 329163M,bfb45482-e298-4732-b878-537cb96ea794,,,normal_gst_10,,Manual,active,,
CVA Property Consultants - Additional Urgent Owners Corporation Certificate - within 2 business days,VICOCADDURGOWNERSCORP2DV158,VIC,BodyCorp,true,"Order the Additional Urgent Owners Corporation Certificate - within 2 business days from CVA Property Consultants for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 2 business day timeframe.",ALL,CVA Property Consultants,6478ca01-d161-479a-a138-cad1a93899cd,,,normal_gst_10,,Manual,active,,
owner corporation plan no RP002114 - Owners Corporation Certificate,VICOCOWNERSCORPV1087,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from owner corporation plan no RP002114 for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,owner corporation plan no RP002114,f43ffb06-1b67-4a68-a0cb-3b689672047b,,,normal_gst_10,,Manual,active,,
Ace Body Corporate Management - Consulting Mordialloc Office - Urgent Owners Corporation Certificate - within 2 business days,VICOCCONSULTINGMORDIALLOCOFFICEURGOWNV115,VIC,BodyCorp,true,"Order the Consulting Mordialloc Office - Urgent Owners Corporation Certificate - within 2 business days from Ace Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 2 business day timeframe.",ALL,Ace Body Corporate Management,8f671a02-13fe-4e8d-9972-132ebc0ce851,,,normal_gst_10,,Manual,active,,
Ace Body Corporate Management - Consulting Mordialloc Office - Additional Urgent Owners Corporation Certificate - within 2 business days,VICOCCONSULTINGMORDIALLOCOFFICEADDURGV115,VIC,BodyCorp,true,"Order the Consulting Mordialloc Office - Additional Urgent Owners Corporation Certificate - within 2 business days from Ace Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 2 business day timeframe.",ALL,Ace Body Corporate Management,8f671a02-13fe-4e8d-9972-132ebc0ce851,,,normal_gst_10,,Manual,active,,
Ace Body Corporate Management - Consulting Mordialloc Office - Additional Urgent Owners Corporation Certificate - within 3-5 business days,VICOCCONSULTINGMORDIALLOCOFFICEADDURG2V115,VIC,BodyCorp,true,"Order the Consulting Mordialloc Office - Additional Urgent Owners Corporation Certificate - within 3-5 business days from Ace Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 3-5 business day timeframe.",ALL,Ace Body Corporate Management,8f671a02-13fe-4e8d-9972-132ebc0ce851,,,normal_gst_10,,Manual,active,,
Ace Body Corporate Management - Consulting Mordialloc Office - Owners Corporation Certificate,VICOCCONSULTINGMORDIALLOCOFFICEOWNERSV115,VIC,BodyCorp,true,"Order the Consulting Mordialloc Office - Owners Corporation Certificate from Ace Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Ace Body Corporate Management,8f671a02-13fe-4e8d-9972-132ebc0ce851,,,normal_gst_10,,Manual,active,,
Ace Body Corporate Management - Consulting Mordialloc Office - Additional Owners Corporation Certificate,VICOCCONSULTINGMORDIALLOCOFFICEADDOWNV115,VIC,BodyCorp,true,"Order the Consulting Mordialloc Office - Additional Owners Corporation Certificate from Ace Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Ace Body Corporate Management,8f671a02-13fe-4e8d-9972-132ebc0ce851,,,normal_gst_10,,Manual,active,,
Alpine Owners Corporation Management Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV1088,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Alpine Owners Corporation Management Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Alpine Owners Corporation Management Pty Ltd,8c5eb109-199f-4f11-b4b3-ddf6a6cbc7b5,,,normal_gst_10,,Manual,active,,
Alpine Owners Corporation Management Pty Ltd - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1088,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from Alpine Owners Corporation Management Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Alpine Owners Corporation Management Pty Ltd,8c5eb109-199f-4f11-b4b3-ddf6a6cbc7b5,,,normal_gst_10,,Manual,active,,
Owners Corporation Plan No 35789 - Owners Corporation Certificate,VICOCOWNERSCORPV1089,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Owners Corporation Plan No 35789 for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Owners Corporation Plan No 35789,1b14115f-8b1d-496d-8192-24e37597d30c,,,normal_gst_10,,Manual,active,,
Brown�s Body Corporate Management - Owners Corporation Certificate,VICOCOWNERSCORPV1090,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Brown�s Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Brown�s Body Corporate Management,2055ad49-4fad-4612-b385-28cc2d514933,,,normal_gst_10,,Manual,active,,
Brown�s Body Corporate Management - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1090,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from Brown�s Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Brown�s Body Corporate Management,2055ad49-4fad-4612-b385-28cc2d514933,,,normal_gst_10,,Manual,active,,
Owners Corporation Plan No 534810 - Owners Corporation Certificate,VICOCOWNERSCORPV1091,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Owners Corporation Plan No 534810 for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Owners Corporation Plan No 534810,7c534506-ed50-42ef-9d24-8352c7b53bcb,,,normal_gst_10,,Manual,active,,
For Your Body Corporate Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV1092,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from For Your Body Corporate Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,For Your Body Corporate Pty Ltd,b9d78369-66c9-4676-a5ac-6bdd26058d43,,,normal_gst_10,,Manual,active,,
For Your Body Corporate Pty Ltd - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1092,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from For Your Body Corporate Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,For Your Body Corporate Pty Ltd,b9d78369-66c9-4676-a5ac-6bdd26058d43,,,normal_gst_10,,Manual,active,,
Melbourne Body Corporate Management - Mitcham - Additional Owners Corporation Certificate,VICOCMITCHAMADDOWNERSCORPV122,VIC,BodyCorp,true,"Order the Mitcham - Additional Owners Corporation Certificate from Melbourne Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Melbourne Body Corporate Management,1787701f-b100-47f9-8f1f-b0591b26690b,,,normal_gst_10,,Manual,active,,
L.J. Hooker Swan Hill - Owners Corporation Certificate,VICOCOWNERSCORPV1093,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from L.J. Hooker Swan Hill for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,L.J. Hooker Swan Hill,90b85a36-d9fd-4200-9c12-ffb74af54832,,,normal_gst_10,,Manual,active,,
L.J. Hooker Swan Hill - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1093,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from L.J. Hooker Swan Hill for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,L.J. Hooker Swan Hill,90b85a36-d9fd-4200-9c12-ffb74af54832,,,normal_gst_10,,Manual,active,,
Iconic Strata Management - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV863,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from Iconic Strata Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Iconic Strata Management,24000f53-d713-46d8-ab7f-f50efff36575,,,normal_gst_10,,Manual,active,,
Strata Management Australia - Owners Corporation Certificate,VICOCOWNERSCORPV1094,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Strata Management Australia for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Strata Management Australia,31cb59c2-ae61-4527-aea6-49cbcba1b218,,,normal_gst_10,,Manual,active,,
Strata Management Australia - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1094,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from Strata Management Australia for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Strata Management Australia,31cb59c2-ae61-4527-aea6-49cbcba1b218,,,normal_gst_10,,Manual,active,,
Professionals Ballarat - Owners Corporation Certificate,VICOCOWNERSCORPV1095,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Professionals Ballarat for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Professionals Ballarat,e38fc6d8-3e2a-4012-a91b-1295b457af7c,,,normal_gst_10,,Manual,active,,
Professionals Ballarat - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1095,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from Professionals Ballarat for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Professionals Ballarat,e38fc6d8-3e2a-4012-a91b-1295b457af7c,,,normal_gst_10,,Manual,active,,
owner corporation plan no RP001300 - Owners Corporation Certificate,VICOCOWNERSCORPV1096,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from owner corporation plan no RP001300 for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,owner corporation plan no RP001300,7fe5cc0c-2377-472c-9266-799cdf0f667d,,,normal_gst_10,,Manual,active,,
Randmark Real Estate Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV1097,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Randmark Real Estate Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Randmark Real Estate Pty Ltd,7d3c85bb-39b7-489b-b199-350c28ae6864,,,normal_gst_10,,Manual,active,,
Randmark Real Estate Pty Ltd - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1097,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from Randmark Real Estate Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Randmark Real Estate Pty Ltd,7d3c85bb-39b7-489b-b199-350c28ae6864,,,normal_gst_10,,Manual,active,,
Body Corporate Services (Vic) Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV1098,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Body Corporate Services (Vic) Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Body Corporate Services (Vic) Pty Ltd,dd319321-448a-4fef-b034-a26d3e7c6fd5,,,normal_gst_10,,Manual,active,,
Body Corporate Services (Vic) Pty Ltd - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1098,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from Body Corporate Services (Vic) Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Body Corporate Services (Vic) Pty Ltd,dd319321-448a-4fef-b034-a26d3e7c6fd5,,,normal_gst_10,,Manual,active,,
Pacific Group Management Co Pty Ltd - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV852,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from Pacific Group Management Co Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Pacific Group Management Co Pty Ltd,058839bb-593d-4cea-85dd-f89a337bd20d,,,normal_gst_10,,Manual,active,,
AAA Management - Owners Corporation Certificate,VICOCOWNERSCORPV1099,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from AAA Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,AAA Management,f1ec8895-29e2-46cf-b4a8-6083d9478d2a,,,normal_gst_10,,Manual,active,,
